Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
D1086.3	0.7455080221634383	0.3697886997743879	0.9995692703162754	0.014381020192395351	false
B0250.1	0.9178231328729204	0.9486673718675187	0.9995692703162754	0.03389349864331201	false
Y110A7A.10	N/A	N/A	N/A	N/A	false
D1086.1	0.7414529914529914	N/A	N/A	0.04899135446685877	false
Y54H5A.2	0.8037679957585886	0.02213478317987836	0.1471464315501013	0.07899564944939609	false
F14F4.3b	0.6846924830146469	0.3164928588744171	0.9995692703162754	0.0066197600181106386	false
Y54H5A.1	N/A	N/A	N/A	N/A	false
C44H4.5	N/A	N/A	N/A	N/A	false
F14F4.3a	0.6873177374862164	0.2899072500770862	0.9995692703162754	0.0020062612446927006	false
C44H4.4	N/A	N/A	N/A	N/A	false
C44H4.3	0.7632298447015877	0.41494879486453834	0.9995692703162754	0.03241736522340037	false
F59F3.1	N/A	N/A	N/A	N/A	false
F11E6.1d	0.5344261575538387	N/A	N/A	N/A	false
F11E6.1c	N/A	N/A	N/A	N/A	false
F11E6.1b	0.5253331252601372	N/A	N/A	N/A	false
Y38A10A.5	0.8650924235030123	0.9484627034700245	0.9995692703162754	0.06908270953940389	false
H20J04.8	0.6664907960193447	0.006581879249881174	0.024594275358801352	0.2006177417573899	true
R13D11.4	N/A	N/A	N/A	N/A	false
H20J04.5	0.8192502138735606	0.2628837992607906	0.9995692703162754	0.012790820905878712	false
R03G5.5a	N/A	N/A	N/A	N/A	false
T17A3.10	N/A	N/A	N/A	N/A	false
W09C5.6b	0.7633697569179345	N/A	N/A	0.10148175471303815	false
W09C5.6a	0.815713872838916	0.8000578174978419	0.9995692703162754	0.05280847601514875	false
F23B12.6	0.6120535402465824	0.006668687900512067	0.024594275358801352	0.1992384676343123	false
F23B12.5	0.9195433586127101	0.7214739640515271	0.9995692703162754	0.015804546132438025	false
M04G12.2	0.9064169551972485	0.9554627758579186	0.9995692703162754	0.03580072616060706	false
F36A4.7	0.926371934593079	0.9959610507275141	0.9995692703162754	0.040981732530053536	false
K08C7.3d	0.6269347118265718	0.37717639174760714	0.9995692703162754	0.04409557425824596	false
F56G4.5	N/A	N/A	N/A	N/A	false
Y66A7A.6	0.7411439133714136	0.6548035116747633	0.9995692703162754	0.08641130286622893	false
C24A3.4	N/A	N/A	N/A	N/A	false
Y41D4B.26	N/A	N/A	N/A	N/A	false
C13B9.3	0.8941967445658875	0.9099694410824735	0.9995692703162754	0.031805564264214346	false
Y43F8B.3g	N/A	N/A	N/A	N/A	false
F53A9.10b	0.9135305354813529	0.8892427676427006	0.9995692703162754	0.016830435855805057	false
F53A9.10a	0.9138112490248506	0.8684902566916284	0.9995692703162754	0.01633686060184705	false
Y43F8B.3e	N/A	N/A	N/A	N/A	false
Y73B6BL.9b	N/A	N/A	N/A	N/A	false
Y43F8B.3d	N/A	N/A	N/A	N/A	false
Y73B6BL.9a	0.9397372053487425	0.9910151011729808	0.9995692703162754	0.028453241200245602	false
Y43F8B.3c	N/A	N/A	N/A	N/A	false
Y43F8B.3b	N/A	N/A	N/A	N/A	false
Y43F8B.3a	N/A	N/A	N/A	N/A	false
F32A5.2a	0.7840300772879063	N/A	N/A	0.2400317926390077	true
R09B3.5	0.7611801919906487	0.43161981165568897	0.9995692703162754	0.01689553682634151	false
R09B3.4	0.6882972023566886	2.866799424349026E-5	0.0	0.3528848664480119	true
R09B3.3	0.8741552129212257	0.9657611066829956	0.9995692703162754	0.04703832951229052	false
R09B3.2	0.8858438732587097	0.23560716971342577	0.9995692703162754	0.010679509810369222	false
Y105E8A.9	0.7845788198927068	N/A	N/A	0.06568171923767728	false
Y54E5A.5	0.8343857359110055	N/A	N/A	0.061932880750825946	false
